stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Usuario\Desktop\Jogos\Pong CodeBlocks\ProjetoPong\bin\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.12230] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12236] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12242] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12253] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12275] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12282] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12290] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12297] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12303] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12318] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12324] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12331] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12336] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12343] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12349] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12355] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12361] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12368] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12373] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12380] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12386] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12392] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12398] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12404] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12422] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12429] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12435] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12441] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12447] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12453] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12459] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12466] Single Buffer requirement not met.
